Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
HTTP请求,5000,22,9,56,112,161,2,415,0.000%,250.00000,62.48,50.05
总体,5000,22,9,56,112,161,2,415,0.000%,250.00000,62.48,50.05
